====iter_10300: fit=1.6415, reg=0.9312, thom=-6.9202, thomf=-7.0019, acc=0.5703
====iter_10400: fit=1.8458, reg=0.9354, thom=-6.9202, thomf=-7.0013, acc=0.5469
====iter_10500: fit=1.6231, reg=0.9371, thom=-6.9201, thomf=-7.0014, acc=0.5625
====iter_10600: fit=1.6628, reg=0.9416, thom=-6.9201, thomf=-7.0023, acc=0.5547
====iter_10700: fit=1.9610, reg=0.9449, thom=-6.9201, thomf=-7.0020, acc=0.4922
====iter_10800: fit=1.9258, reg=0.9471, thom=-6.9201, thomf=-7.0018, acc=0.5703
====iter_10900: fit=1.5441, reg=0.9476, thom=-6.9203, thomf=-7.0020, acc=0.6016
====iter_11000: fit=1.8270, reg=0.9495, thom=-6.9204, thomf=-7.0029, acc=0.5000
====iter_11100: fit=2.0816, reg=0.9536, thom=-6.9203, thomf=-7.0021, acc=0.4531
====iter_11200: fit=1.5961, reg=0.9579, thom=-6.9201, thomf=-7.0023, acc=0.6250
====iter_11300: fit=1.9270, reg=0.9590, thom=-6.9205, thomf=-7.0005, acc=0.5078
====iter_11400: fit=1.9176, reg=0.9611, thom=-6.9206, thomf=-7.0025, acc=0.5156
====iter_11500: fit=1.3645, reg=0.9649, thom=-6.9207, thomf=-7.0014, acc=0.6172
====iter_11600: fit=1.5737, reg=0.9679, thom=-6.9207, thomf=-7.0016, acc=0.6250
====iter_11700: fit=1.4825, reg=0.9681, thom=-6.9208, thomf=-7.0017, acc=0.6328
====iter_11800: fit=1.8090, reg=0.9696, thom=-6.9208, thomf=-7.0030, acc=0.5234
====iter_11900: fit=1.7131, reg=0.9728, thom=-6.9207, thomf=-7.0026, acc=0.5547
====iter_12000: fit=1.4376, reg=0.9749, thom=-6.9207, thomf=-7.0027, acc=0.6172
====iter_12100: fit=1.4802, reg=0.9749, thom=-6.9206, thomf=-7.0024, acc=0.6016
====iter_12200: fit=1.7400, reg=0.9750, thom=-6.9207, thomf=-7.0030, acc=0.5469
====iter_12300: fit=1.5037, reg=0.9814, thom=-6.9207, thomf=-7.0035, acc=0.5938
====iter_12400: fit=1.8526, reg=0.9820, thom=-6.9208, thomf=-7.0024, acc=0.5312
====iter_12500: fit=1.5027, reg=0.9811, thom=-6.9211, thomf=-7.0024, acc=0.5938
====iter_12600: fit=1.5723, reg=0.9843, thom=-6.9210, thomf=-7.0028, acc=0.6250
====iter_12700: fit=1.4848, reg=0.9859, thom=-6.9211, thomf=-7.0027, acc=0.5938
====iter_12800: fit=1.5445, reg=0.9846, thom=-6.9208, thomf=-7.0025, acc=0.6406
====iter_12900: fit=1.4627, reg=0.9836, thom=-6.9210, thomf=-7.0030, acc=0.5781
====iter_13000: fit=1.5629, reg=0.9893, thom=-6.9212, thomf=-7.0025, acc=0.5781
====iter_13100: fit=1.8690, reg=0.9911, thom=-6.9211, thomf=-7.0023, acc=0.5391
====iter_13200: fit=1.5079, reg=0.9907, thom=-6.9210, thomf=-7.0023, acc=0.6016
