====iter_32600: fit=0.3290, reg=0.5029, acc=0.9062
====iter_32700: fit=0.3562, reg=0.5026, acc=0.9219
====iter_32800: fit=0.3659, reg=0.5023, acc=0.9297
====iter_32900: fit=0.3567, reg=0.5020, acc=0.9219
====iter_33000: fit=0.3998, reg=0.5017, acc=0.9297
====iter_33100: fit=0.3599, reg=0.5014, acc=0.9062
====iter_33200: fit=0.4017, reg=0.5010, acc=0.8906
====iter_33300: fit=0.3832, reg=0.5007, acc=0.9219
====iter_33400: fit=0.3882, reg=0.5004, acc=0.9141
====iter_33500: fit=0.2939, reg=0.5001, acc=0.9375
====iter_33600: fit=0.4175, reg=0.4998, acc=0.9141
====iter_33700: fit=0.4294, reg=0.4995, acc=0.9219
====iter_33800: fit=0.3835, reg=0.4991, acc=0.8906
====iter_33900: fit=0.3496, reg=0.4988, acc=0.8984
====iter_34000: fit=0.4259, reg=0.4985, acc=0.9062
====iter_34100: fit=0.2567, reg=0.4982, acc=0.9766
====iter_34200: fit=0.2388, reg=0.4978, acc=0.9609
====iter_34300: fit=0.3700, reg=0.4975, acc=0.9219
====iter_34400: fit=0.3249, reg=0.4972, acc=0.9375
====iter_34500: fit=0.3875, reg=0.4969, acc=0.9062
====iter_34600: fit=0.4289, reg=0.4966, acc=0.9062
====iter_34700: fit=0.3209, reg=0.4962, acc=0.9297
====iter_34800: fit=0.3555, reg=0.4959, acc=0.9062
====iter_34900: fit=0.3619, reg=0.4956, acc=0.9062
====iter_35000: fit=0.3584, reg=0.4953, acc=0.9375
====iter_35100: fit=0.3575, reg=0.4950, acc=0.9141
====iter_35200: fit=0.3232, reg=0.4946, acc=0.9219
====iter_35300: fit=0.2595, reg=0.4943, acc=0.9375
====iter_35400: fit=0.2820, reg=0.4940, acc=0.9375
====iter_35500: fit=0.3717, reg=0.4937, acc=0.9297
====iter_35600: fit=0.3861, reg=0.4933, acc=0.9141
====iter_35700: fit=0.2800, reg=0.4930, acc=0.9531
====iter_35800: fit=0.4085, reg=0.4927, acc=0.9141
====iter_35900: fit=0.2744, reg=0.4924, acc=0.9531
====iter_36000: fit=0.3317, reg=0.4921, acc=0.9062
====iter_36100: fit=0.2870, reg=0.4917, acc=0.9375
====iter_36200: fit=0.3896, reg=0.4914, acc=0.9062
====iter_36300: fit=0.3210, reg=0.4911, acc=0.9141
====iter_36400: fit=0.3647, reg=0.4908, acc=0.9062
====iter_36500: fit=0.3623, reg=0.4904, acc=0.9297
====iter_36600: fit=0.2718, reg=0.4901, acc=0.9609
====iter_36700: fit=0.2968, reg=0.4898, acc=0.9609
====iter_36800: fit=0.3614, reg=0.4895, acc=0.9141
====iter_36900: fit=0.3974, reg=0.4892, acc=0.8984
====iter_37000: fit=0.3444, reg=0.4888, acc=0.9219
====iter_37100: fit=0.3379, reg=0.4885, acc=0.9375
====iter_37200: fit=0.2976, reg=0.4882, acc=0.9375
====iter_37300: fit=0.3365, reg=0.4879, acc=0.9297
====iter_37400: fit=0.3305, reg=0.4875, acc=0.9141
====iter_37500: fit=0.4242, reg=0.4872, acc=0.8750
====iter_37600: fit=0.3060, reg=0.4872, acc=0.9297
====iter_37700: fit=0.3476, reg=0.4871, acc=0.8984
====iter_37800: fit=0.3036, reg=0.4871, acc=0.9141
====iter_37900: fit=0.4693, reg=0.4871, acc=0.8828
====iter_38000: fit=0.3131, reg=0.4870, acc=0.9297
====iter_38100: fit=0.3124, reg=0.4870, acc=0.9375
====iter_38200: fit=0.3026, reg=0.4870, acc=0.9297
====iter_38300: fit=0.4291, reg=0.4869, acc=0.9062
====iter_38400: fit=0.2828, reg=0.4869, acc=0.9375
====iter_38500: fit=0.2320, reg=0.4869, acc=0.9531
====iter_38600: fit=0.3118, reg=0.4868, acc=0.9297
====iter_38700: fit=0.2453, reg=0.4868, acc=0.9531
====iter_38800: fit=0.3084, reg=0.4868, acc=0.9453
====iter_38900: fit=0.3618, reg=0.4867, acc=0.9062
====iter_39000: fit=0.2021, reg=0.4867, acc=0.9766
====iter_39100: fit=0.2934, reg=0.4867, acc=0.9453
====iter_39200: fit=0.2731, reg=0.4866, acc=0.9375
====iter_39300: fit=0.2085, reg=0.4866, acc=0.9688
====iter_39400: fit=0.3237, reg=0.4866, acc=0.9375
====iter_39500: fit=0.2924, reg=0.4865, acc=0.9219
====iter_39600: fit=0.3289, reg=0.4865, acc=0.9141
====iter_39700: fit=0.3246, reg=0.4865, acc=0.9297
====iter_39800: fit=0.2505, reg=0.4864, acc=0.9688
====iter_39900: fit=0.2572, reg=0.4864, acc=0.9375
====iter_40000: fit=0.3508, reg=0.4864, acc=0.8906
====iter_40100: fit=0.2710, reg=0.4863, acc=0.9531
====iter_40200: fit=0.3214, reg=0.4863, acc=0.9531
====iter_40300: fit=0.3676, reg=0.4863, acc=0.9375
====iter_40400: fit=0.2354, reg=0.4862, acc=0.9375
====iter_40500: fit=0.3826, reg=0.4862, acc=0.9297
====iter_40600: fit=0.2588, reg=0.4862, acc=0.9688
====iter_40700: fit=0.2266, reg=0.4861, acc=0.9766
====iter_40800: fit=0.2820, reg=0.4861, acc=0.9531
====iter_40900: fit=0.4564, reg=0.4861, acc=0.9141
====iter_41000: fit=0.3089, reg=0.4860, acc=0.9141
====iter_41100: fit=0.3517, reg=0.4860, acc=0.9062
====iter_41200: fit=0.3786, reg=0.4860, acc=0.8750
====iter_41300: fit=0.3047, reg=0.4859, acc=0.9141
====iter_41400: fit=0.2510, reg=0.4859, acc=0.9688
====iter_41500: fit=0.3613, reg=0.4859, acc=0.9062
====iter_41600: fit=0.4636, reg=0.4858, acc=0.8906
====iter_41700: fit=0.3615, reg=0.4858, acc=0.9219
====iter_41800: fit=0.2303, reg=0.4858, acc=0.9531
====iter_41900: fit=0.2942, reg=0.4857, acc=0.9297
====iter_42000: fit=0.3029, reg=0.4857, acc=0.9375
====iter_42100: fit=0.2341, reg=0.4856, acc=0.9375
====iter_42200: fit=0.1947, reg=0.4856, acc=0.9609
====iter_42300: fit=0.3618, reg=0.4856, acc=0.9531
====iter_42400: fit=0.3751, reg=0.4855, acc=0.8984
