====iter_9900: fit=1.7432, reg=0.8474, thom=-0.6925, thomf=-0.6939, acc=0.5234
====iter_10000: fit=1.8035, reg=0.8530, thom=-0.6926, thomf=-0.6940, acc=0.5234
====iter_10100: fit=1.8128, reg=0.8542, thom=-0.6925, thomf=-0.6938, acc=0.5078
====iter_10200: fit=1.4854, reg=0.8571, thom=-0.6925, thomf=-0.6939, acc=0.6250
====iter_10300: fit=1.7770, reg=0.8628, thom=-0.6926, thomf=-0.6940, acc=0.5469
====iter_10400: fit=1.6245, reg=0.8643, thom=-0.6926, thomf=-0.6941, acc=0.5859
====iter_10500: fit=1.4645, reg=0.8649, thom=-0.6926, thomf=-0.6941, acc=0.6172
====iter_10600: fit=1.6796, reg=0.8673, thom=-0.6926, thomf=-0.6940, acc=0.5781
====iter_10700: fit=1.6291, reg=0.8731, thom=-0.6926, thomf=-0.6942, acc=0.6328
====iter_10800: fit=1.3404, reg=0.8759, thom=-0.6927, thomf=-0.6941, acc=0.6484
====iter_10900: fit=1.5309, reg=0.8778, thom=-0.6926, thomf=-0.6942, acc=0.5938
====iter_11000: fit=1.6499, reg=0.8823, thom=-0.6926, thomf=-0.6943, acc=0.5156
====iter_11100: fit=1.5939, reg=0.8865, thom=-0.6925, thomf=-0.6944, acc=0.5859
====iter_11200: fit=1.7611, reg=0.8879, thom=-0.6926, thomf=-0.6942, acc=0.5078
====iter_11300: fit=1.4442, reg=0.8879, thom=-0.6927, thomf=-0.6942, acc=0.5703
====iter_11400: fit=1.7713, reg=0.8912, thom=-0.6926, thomf=-0.6942, acc=0.5078
====iter_11500: fit=1.7240, reg=0.8957, thom=-0.6926, thomf=-0.6942, acc=0.5234
====iter_11600: fit=1.8365, reg=0.8990, thom=-0.6927, thomf=-0.6941, acc=0.5391
====iter_11700: fit=1.5474, reg=0.8999, thom=-0.6927, thomf=-0.6941, acc=0.5469
====iter_11800: fit=1.4842, reg=0.9019, thom=-0.6927, thomf=-0.6941, acc=0.6094
====iter_11900: fit=1.5359, reg=0.9047, thom=-0.6927, thomf=-0.6942, acc=0.5078
====iter_12000: fit=1.5319, reg=0.9094, thom=-0.6927, thomf=-0.6943, acc=0.6172
====iter_12100: fit=1.3354, reg=0.9112, thom=-0.6928, thomf=-0.6942, acc=0.6250
====iter_12200: fit=1.6316, reg=0.9121, thom=-0.6928, thomf=-0.6943, acc=0.5703
====iter_12300: fit=1.7241, reg=0.9154, thom=-0.6927, thomf=-0.6944, acc=0.5391
====iter_12400: fit=1.6238, reg=0.9162, thom=-0.6928, thomf=-0.6942, acc=0.5391
====iter_12500: fit=1.4057, reg=0.9176, thom=-0.6927, thomf=-0.6943, acc=0.6641
====iter_12600: fit=1.6951, reg=0.9216, thom=-0.6927, thomf=-0.6943, acc=0.5391
====iter_12700: fit=1.4916, reg=0.9250, thom=-0.6927, thomf=-0.6944, acc=0.5938
====iter_12800: fit=1.4888, reg=0.9281, thom=-0.6928, thomf=-0.6944, acc=0.5625
====iter_12900: fit=1.2651, reg=0.9279, thom=-0.6928, thomf=-0.6946, acc=0.6094
====iter_13000: fit=1.4283, reg=0.9275, thom=-0.6928, thomf=-0.6944, acc=0.5859
====iter_13100: fit=1.5335, reg=0.9305, thom=-0.6928, thomf=-0.6943, acc=0.5391
====iter_13200: fit=1.5619, reg=0.9299, thom=-0.6927, thomf=-0.6944, acc=0.5781
====iter_13300: fit=1.6875, reg=0.9316, thom=-0.6926, thomf=-0.6944, acc=0.5547
====iter_13400: fit=1.5892, reg=0.9359, thom=-0.6928, thomf=-0.6945, acc=0.5469
====iter_13500: fit=1.5746, reg=0.9376, thom=-0.6927, thomf=-0.6943, acc=0.6094
====iter_13600: fit=1.4779, reg=0.9366, thom=-0.6928, thomf=-0.6942, acc=0.5781
====iter_13700: fit=1.3697, reg=0.9375, thom=-0.6927, thomf=-0.6943, acc=0.6484
====iter_13800: fit=1.5754, reg=0.9418, thom=-0.6928, thomf=-0.6946, acc=0.6016
====iter_13900: fit=1.5024, reg=0.9436, thom=-0.6927, thomf=-0.6945, acc=0.5859
====iter_14000: fit=1.4618, reg=0.9460, thom=-0.6928, thomf=-0.6945, acc=0.6250
====iter_14100: fit=1.4888, reg=0.9457, thom=-0.6927, thomf=-0.6945, acc=0.5703
====iter_14200: fit=1.7686, reg=0.9480, thom=-0.6928, thomf=-0.6945, acc=0.5234
====iter_14300: fit=1.2379, reg=0.9497, thom=-0.6927, thomf=-0.6946, acc=0.6484
====iter_14400: fit=1.8725, reg=0.9501, thom=-0.6927, thomf=-0.6944, acc=0.5547
====iter_14500: fit=1.6430, reg=0.9501, thom=-0.6928, thomf=-0.6945, acc=0.5938
====iter_14600: fit=1.7295, reg=0.9515, thom=-0.6929, thomf=-0.6945, acc=0.5156
====iter_14700: fit=1.5589, reg=0.9515, thom=-0.6928, thomf=-0.6946, acc=0.6172
====iter_14800: fit=1.6658, reg=0.9544, thom=-0.6929, thomf=-0.6944, acc=0.6016
====iter_14900: fit=1.6463, reg=0.9553, thom=-0.6927, thomf=-0.6945, acc=0.5938
====iter_15000: fit=1.5397, reg=0.9601, thom=-0.6928, thomf=-0.6947, acc=0.6328
====iter_15100: fit=1.4865, reg=0.9607, thom=-0.6928, thomf=-0.6944, acc=0.6094
====iter_15200: fit=1.6106, reg=0.9563, thom=-0.6928, thomf=-0.6943, acc=0.5312
====iter_15300: fit=1.4674, reg=0.9604, thom=-0.6928, thomf=-0.6947, acc=0.6328
====iter_15400: fit=1.6725, reg=0.9643, thom=-0.6928, thomf=-0.6947, acc=0.5000
====iter_15500: fit=1.6656, reg=0.9659, thom=-0.6928, thomf=-0.6945, acc=0.5547
====iter_15600: fit=1.5687, reg=0.9628, thom=-0.6927, thomf=-0.6944, acc=0.5859
====iter_15700: fit=1.4172, reg=0.9686, thom=-0.6926, thomf=-0.6946, acc=0.6328
====iter_15800: fit=1.4597, reg=0.9719, thom=-0.6927, thomf=-0.6945, acc=0.6172
====iter_15900: fit=1.4525, reg=0.9723, thom=-0.6926, thomf=-0.6943, acc=0.5703
====iter_16000: fit=1.4680, reg=0.9718, thom=-0.6927, thomf=-0.6943, acc=0.6016
====iter_16100: fit=1.3779, reg=0.9718, thom=-0.6926, thomf=-0.6944, acc=0.6562
====iter_16200: fit=1.4215, reg=0.9731, thom=-0.6926, thomf=-0.6944, acc=0.5859
====iter_16300: fit=1.5391, reg=0.9743, thom=-0.6927, thomf=-0.6944, acc=0.5703
====iter_16400: fit=1.3105, reg=0.9758, thom=-0.6927, thomf=-0.6945, acc=0.6562
====iter_16500: fit=1.3922, reg=0.9769, thom=-0.6927, thomf=-0.6944, acc=0.6406
====iter_16600: fit=1.3473, reg=0.9799, thom=-0.6925, thomf=-0.6945, acc=0.6250
====iter_16700: fit=1.4363, reg=0.9807, thom=-0.6927, thomf=-0.6946, acc=0.6484
====iter_16800: fit=1.0288, reg=0.9790, thom=-0.6926, thomf=-0.6946, acc=0.7344
====iter_16900: fit=1.7496, reg=0.9803, thom=-0.6926, thomf=-0.6948, acc=0.5781
====iter_17000: fit=1.5384, reg=0.9813, thom=-0.6926, thomf=-0.6948, acc=0.6016
====iter_17100: fit=1.5763, reg=0.9821, thom=-0.6927, thomf=-0.6946, acc=0.6172
====iter_17200: fit=1.6077, reg=0.9845, thom=-0.6927, thomf=-0.6945, acc=0.5938
====iter_17300: fit=1.5908, reg=0.9897, thom=-0.6925, thomf=-0.6945, acc=0.5547
====iter_17400: fit=1.4105, reg=0.9893, thom=-0.6927, thomf=-0.6947, acc=0.6172
====iter_17500: fit=1.8351, reg=0.9877, thom=-0.6925, thomf=-0.6945, acc=0.5156
====iter_17600: fit=1.5327, reg=0.9905, thom=-0.6925, thomf=-0.6945, acc=0.5859
====iter_17700: fit=1.4528, reg=0.9926, thom=-0.6925, thomf=-0.6946, acc=0.6016
====iter_17800: fit=1.8568, reg=0.9932, thom=-0.6925, thomf=-0.6947, acc=0.5078
====iter_17900: fit=1.6191, reg=0.9938, thom=-0.6925, thomf=-0.6945, acc=0.5234
====iter_18000: fit=1.2681, reg=0.9948, thom=-0.6925, thomf=-0.6948, acc=0.7188
====iter_18100: fit=1.4554, reg=0.9970, thom=-0.6924, thomf=-0.6946, acc=0.6172
====iter_18200: fit=1.8656, reg=0.9977, thom=-0.6925, thomf=-0.6945, acc=0.4766
====iter_18300: fit=1.4130, reg=0.9956, thom=-0.6925, thomf=-0.6944, acc=0.6094
====iter_18400: fit=1.3552, reg=0.9953, thom=-0.6925, thomf=-0.6947, acc=0.6094
====iter_18500: fit=1.8547, reg=0.9997, thom=-0.6925, thomf=-0.6947, acc=0.5312
====iter_18600: fit=1.4650, reg=0.9977, thom=-0.6926, thomf=-0.6946, acc=0.5703
====iter_18700: fit=1.3880, reg=0.9968, thom=-0.6925, thomf=-0.6945, acc=0.6328
====iter_18800: fit=1.7506, reg=0.9976, thom=-0.6925, thomf=-0.6947, acc=0.5391
====iter_18900: fit=1.1905, reg=1.0007, thom=-0.6926, thomf=-0.6948, acc=0.6797
====iter_19000: fit=1.3564, reg=1.0031, thom=-0.6925, thomf=-0.6946, acc=0.6484
====iter_19100: fit=1.6061, reg=1.0019, thom=-0.6926, thomf=-0.6947, acc=0.5938
====iter_19200: fit=1.3719, reg=1.0055, thom=-0.6926, thomf=-0.6949, acc=0.6094
====iter_19300: fit=1.3262, reg=1.0051, thom=-0.6925, thomf=-0.6948, acc=0.6719
